"ANONID","SUBJECT","CATALOG_NBR","GRD_PTS_PER_UNIT","GPAO","DIV","ANON_INSTR_ID","TERM","MAJOR3_DESCR","MAJOR2_DESCR","MAJOR1_DESCR","HSGPA","LAST_ACT_ENGL_SCORE","LAST_ACT_MATH_SCORE","LAST_ACT_READ_SCORE","LAST_ACT_SCIRE_SCORE","LAST_ACT_COMP_SCORE","LAST_SATI_VERB_SCORE","LAST_SATI_MATH_SCORE","LAST_SATI_TOTAL_SCORE","SEX","STDNT_GROUP1","STDNT_GROUP2","MAJOR1_DEPT","MAJOR2_DEPT","MAJOR3_DEPT","ADMIT_TERM","MAJOR1_TERM","MAJOR2_TERM","MAJOR3_TERM"
402,"STATS",250,3.7,3.65185185185185,"S",386,130,NA,NA,NA,3.6,32,32,28,29,31,670,700,1370,"F",NA,NA,NA,NA,NA,126,NA,NA,NA
407,"STATS",250,3,3.35833333333333,"S",386,123,NA,NA,"Neuroscience BS",3.8,31,34,NA,NA,30,640,730,1370,"F",NA,NA,"Molecular, Cellular, and Developmental Biology",NA,NA,118,131,NA,NA
431,"STATS",250,3.7,3.728,"S",71,134,NA,NA,NA,0,31,31,36,28,32,720,750,1470,"F",NA,NA,NA,NA,NA,134,NA,NA,NA
434,"STATS",250,4,3.912,"S",386,126,NA,NA,"Public Policy BA",3.99,34,30,34,26,31,NA,NA,NA,"F",NA,NA,"School Of Public Policy",NA,NA,118,131,NA,NA
437,"STATS",250,3.3,3.0952380952381,"S",386,126,NA,NA,"Computer Science BSE",NA,33,31,32,34,32,NA,NA,NA,"M",NA,NA,"Electrical Engr & Computer Sci",NA,NA,NA,131,NA,NA
449,"STATS",250,0,2.65,"S",1260,122,NA,NA,"Psychology BS",0,26,30,28,30,28,NA,NA,NA,"F",NA,NA,"Psychology Department",NA,NA,126,129,NA,NA
453,"STATS",250,2.3,3.24615384615385,"S",1260,134,NA,NA,NA,3.9,31,28,32,31,30,600,640,1240,"F",NA,NA,NA,NA,NA,134,NA,NA,NA
492,"STATS",250,3,3.01489361702128,"S",1260,135,NA,NA,NA,3.6,23,35,NA,NA,32,550,730,1280,"M",NA,NA,NA,NA,NA,130,NA,NA,NA
516,"STATS",250,0.7,2.60142857142857,"S",386,127,NA,NA,NA,0,25,26,21,26,25,NA,NA,NA,"M",NA,NA,NA,NA,NA,134,NA,NA,NA
533,"STATS",250,2.3,3.50925925925926,"S",386,119,NA,NA,"Business Administration BBA",3.4,31,31,29,26,29,600,690,1290,"M",NA,NA,"School of Business Administration",NA,NA,118,131,NA,NA
542,"STATS",250,4,3.87777777777778,"S",386,134,NA,NA,NA,4,33,35,27,32,32,NA,NA,NA,"M",NA,NA,NA,NA,NA,130,NA,NA,NA
567,"STATS",250,3.3,3.49473684210526,"S",1260,130,NA,NA,NA,3.8,30,33,30,29,31,NA,NA,NA,"F",NA,NA,NA,NA,NA,130,NA,NA,NA
590,"STATS",250,0,1.7219512195122,"S",1802,130,NA,NA,NA,3.8,32,30,36,29,32,NA,NA,NA,"F",NA,NA,NA,NA,NA,126,NA,NA,NA
599,"STATS",250,3,2.49142857142857,"S",386,122,NA,"Economics BA","Program in Entrepreneurship",3.6,27,32,24,30,29,NA,NA,NA,"F","E",NA,"CoE Ctr for Entrepreneurship","Economics Department",NA,118,131,131,NA
607,"STATS",250,2,3.55454545454545,"S",1802,122,NA,NA,"Sport Management BA",4,26,24,25,27,25,510,590,1100,"M",NA,NA,"School Of Kinesiology",NA,NA,118,131,NA,NA
624,"STATS",250,4.4,3.44285714285714,"S",386,122,NA,NA,"Business Administration BBA",3.76,29,36,29,30,31,670,790,1460,"M",NA,NA,"School of Business Administration",NA,NA,118,130,NA,NA
634,"STATS",250,4,3.80909090909091,"S",1260,130,NA,NA,NA,4,33,30,32,29,31,NA,NA,NA,"F",NA,NA,NA,NA,NA,126,NA,NA,NA
637,"STATS",250,3,3.31025641025641,"S",1260,119,NA,NA,"International Studies BA",0,29,27,27,30,29,NA,NA,NA,"F",NA,NA,"International Institute",NA,NA,122,127,NA,NA
644,"STATS",250,2,3.03695652173913,"S",1260,118,NA,NA,"Biopsych, Cognit & Neurosci BS",3.7,26,28,28,25,27,NA,NA,NA,"F",NA,NA,"Psychology Department",NA,NA,114,127,NA,NA
655,"STATS",250,3,3.13720930232558,"S",386,134,NA,"International Studies BA","Economics BA",3.7,27,27,NA,NA,24,580,570,1150,"F",NA,NA,"Economics Department","International Institute",NA,122,135,135,NA
665,"STATS",250,3.3,3.74268292682927,"S",1260,119,NA,NA,"Nursing BS Soph Transfer",0,33,24,31,26,28,NA,NA,NA,"F",NA,NA,"School Of Nursing",NA,NA,120,131,NA,NA
667,"STATS",250,3.3,3.33333333333333,"S",1446,131,NA,NA,NA,3.9,30,32,36,33,33,NA,NA,NA,"F",NA,"G",NA,NA,NA,130,NA,NA,NA
672,"STATS",250,3.7,3.56666666666667,"S",386,127,NA,NA,"Ecology & Evolut Biology BS",3.7,32,30,NA,NA,30,630,710,1340,"M",NA,NA,"Ecology & Evolutionary Biology",NA,NA,118,131,NA,NA
712,"STATS",250,3.3,3.56666666666667,"S",386,135,NA,NA,NA,0,33,28,25,26,28,NA,NA,NA,"M",NA,NA,NA,NA,NA,134,NA,NA,NA
713,"STATS",250,3.3,3.54146341463415,"S",1260,127,NA,NA,"Biopsych, Cognit & Neurosci BS",3.8,32,32,32,30,31,NA,NA,NA,"M",NA,NA,"Psychology Department",NA,NA,122,135,NA,NA
733,"STATS",250,3.7,3.67619047619048,"S",386,122,NA,NA,"Public Policy BA",0,34,30,30,31,31,NA,NA,NA,"F",NA,NA,"School Of Public Policy",NA,NA,126,131,NA,NA
740,"STATS",250,3.3,3.18269230769231,"S",1260,135,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"M",NA,NA,NA,NA,NA,130,NA,NA,NA
745,"STATS",250,4,3.865,"S",386,126,NA,NA,"Computer Science BSE",4,25,34,NA,NA,30,590,740,1330,"M",NA,NA,"Electrical Engr & Computer Sci",NA,NA,118,131,NA,NA
746,"STATS",250,2,2.83913043478261,"S",386,134,NA,NA,NA,3.1,28,34,32,33,32,540,640,1180,"M",NA,NA,NA,NA,NA,130,NA,NA,NA
763,"STATS",250,0,2.48627450980392,"S",1802,127,NA,NA,NA,0,24,21,24,27,24,NA,NA,NA,"M",NA,NA,NA,NA,NA,124,NA,NA,NA
809,"STATS",250,4,3.82941176470588,"S",386,122,NA,NA,"Neuroscience BS",4,28,30,27,33,29,NA,NA,NA,"M",NA,NA,"Molecular, Cellular, and Developmental Biology",NA,NA,118,131,NA,NA
812,"STATS",250,3.7,3.69130434782609,"S",386,119,NA,NA,"Comparative Literature BA",4,30,31,35,28,31,NA,NA,NA,"F",NA,NA,"Comparative Literature Program",NA,NA,106,119,NA,NA
819,"STATS",250,2.7,3.23333333333333,"S",386,135,NA,NA,NA,3.8,30,28,24,27,27,630,620,1250,"F",NA,NA,NA,NA,NA,126,NA,NA,NA
864,"STATS",250,3.3,3.23529411764706,"S",386,131,NA,NA,"Psychology BA",3.2,27,30,NA,NA,30,580,690,1270,"F",NA,NA,"Psychology Department",NA,NA,122,135,NA,NA
888,"STATS",250,3,3.33414634146341,"S",1260,123,NA,NA,"Informatics BA",3.8,27,26,21,27,26,NA,NA,NA,"F",NA,NA,"Statistics Department",NA,NA,122,135,NA,NA
895,"STATS",250,4,3.87045454545455,"S",1802,130,NA,NA,NA,3.8,28,33,31,35,32,NA,NA,NA,"M",NA,NA,NA,NA,NA,130,NA,NA,NA
910,"STATS",250,3,3.36590909090909,"S",1260,119,NA,NA,"Sport Management BA",3.9,33,34,28,27,31,620,700,1320,"M",NA,NA,"School Of Kinesiology",NA,NA,118,131,NA,NA
940,"STATS",250,4,3.56666666666667,"S",386,131,NA,NA,NA,3.9,26,27,28,27,27,NA,NA,NA,"F",NA,NA,NA,NA,NA,126,NA,NA,NA
942,"STATS",250,0,2.71666666666667,"S",386,123,NA,NA,"History BA",3,24,27,30,25,26,570,560,1130,"M",NA,NA,"History Department",NA,NA,113,127,NA,NA
942,"STATS",250,0.7,2.8972972972973,"S",1260,119,NA,NA,"History BA",3,24,27,30,25,26,570,560,1130,"M",NA,NA,"History Department",NA,NA,113,127,NA,NA
947,"STATS",250,2.7,2.9859649122807,"S",1260,122,NA,NA,"Sociology BA",3.9,33,29,24,30,29,NA,NA,NA,"M",NA,NA,"Sociology Department",NA,NA,114,129,NA,NA
984,"STATS",250,1,2.05,"S",1260,127,NA,NA,NA,3.6,25,31,NA,NA,28,600,700,1300,"M",NA,NA,NA,NA,NA,126,NA,NA,NA
1003,"STATS",250,4,3.88292682926829,"S",386,122,NA,NA,"Public Policy BA",0,30,32,NA,NA,32,660,740,1400,"F",NA,NA,"School Of Public Policy",NA,NA,122,127,NA,NA
1008,"STATS",250,2.3,2.97659574468085,"S",386,127,NA,NA,NA,3.5,21,23,23,23,22,NA,NA,NA,"F","E","D",NA,NA,NA,126,NA,NA,NA
1011,"STATS",250,3.7,3.53809523809524,"S",1446,134,NA,NA,NA,4,35,29,36,25,32,NA,NA,NA,"F",NA,NA,NA,NA,NA,130,NA,NA,NA
1019,"STATS",250,2.7,3.055,"S",1260,134,NA,NA,NA,0,33,32,28,26,30,NA,NA,NA,"F",NA,NA,NA,NA,NA,138,NA,NA,NA
1025,"STATS",250,3.7,3.4,"S",386,126,NA,"Chemical Engineering BSE","Prog in Entrepreneur BSE ChemE",3.5,34,34,NA,NA,33,670,800,1470,"M",NA,NA,"CoE Ctr for Entrepreneurship","Chemical Engineering Department",NA,118,131,131,NA
1029,"STATS",250,4,3.95625,"S",1260,130,NA,NA,NA,0,35,28,28,26,30,NA,NA,NA,"F",NA,NA,NA,NA,NA,134,NA,NA,NA
1031,"STATS",250,2,3.06117647058824,"S",386,118,NA,NA,"Psychology BA",0,NA,NA,NA,NA,NA,NA,NA,NA,"M","E",NA,"Psychology Department",NA,NA,116,126,NA,NA
1043,"STATS",250,3.3,3.24230769230769,"S",1260,131,NA,NA,NA,4,27,28,34,24,29,NA,NA,NA,"M",NA,NA,NA,NA,NA,126,NA,NA,NA
1044,"STATS",250,3.3,3.21428571428571,"S",1802,127,NA,NA,"Biopsych, Cognit & Neurosci BS",3.8,26,27,22,25,25,NA,NA,NA,"M",NA,NA,"Psychology Department",NA,NA,122,135,NA,NA
1045,"STATS",250,3.3,3.24444444444444,"S",1260,130,NA,NA,NA,4,27,27,30,33,29,540,660,1200,"F",NA,NA,NA,NA,NA,126,NA,NA,NA
1048,"STATS",250,4,3.80740740740741,"S",1260,126,NA,NA,NA,4,26,25,26,27,26,NA,NA,NA,"F",NA,NA,NA,NA,NA,126,NA,NA,NA
1056,"STATS",250,2.3,3.27692307692308,"S",386,122,NA,"Political Science BA","History BA",0,29,26,27,26,27,NA,NA,NA,"F",NA,NA,"History Department","Political Science Department",NA,122,127,127,NA
1059,"STATS",250,3,3.67073170731707,"S",386,122,NA,NA,"Environment BS",3.82,26,25,26,24,25,NA,NA,NA,"M",NA,NA,"Program in the Environment",NA,NA,118,131,NA,NA
1066,"STATS",250,0,2.46440677966102,"S",1802,126,NA,NA,"Informatics BS",3.8,27,30,21,24,26,480,570,1050,"F","E",NA,"Statistics Department",NA,NA,114,131,NA,NA
1066,"STATS",250,2.3,2.565625,"S",1802,130,NA,NA,"Informatics BS",3.8,27,30,21,24,26,480,570,1050,"F","E",NA,"Statistics Department",NA,NA,114,131,NA,NA
1079,"STATS",250,3.7,3.65,"S",386,127,NA,NA,"Computer Engineering BSE",3.3,34,34,NA,NA,32,690,680,1370,"M",NA,NA,"Electrical Engr & Computer Sci",NA,NA,118,134,NA,NA
1096,"STATS",250,3.7,3.55806451612903,"S",1802,130,NA,NA,NA,3.6,25,26,28,25,26,NA,NA,NA,"F",NA,NA,NA,NA,NA,126,NA,NA,NA
1097,"STATS",250,3.3,3.3188679245283,"S",1260,127,NA,NA,"Biopsych, Cognit & Neurosci BS",3.8,30,30,36,28,31,NA,NA,NA,"F",NA,NA,"Psychology Department",NA,NA,122,135,NA,NA
1114,"STATS",250,3,3.78363636363636,"S",386,119,NA,NA,"Biomolecular Science BS",4,20,26,17,29,23,NA,NA,NA,"M","D","E","Chemistry Department",NA,NA,117,130,NA,NA
1143,"STATS",250,4,4,"S",386,127,NA,NA,"International Studies BA",4,33,34,30,35,33,NA,NA,NA,"F",NA,"G","International Institute",NA,NA,122,135,NA,NA
1160,"STATS",250,3,2.69263157894737,"S",1260,123,NA,NA,"Informatics BA",3.66,29,35,34,35,34,NA,NA,NA,"M",NA,NA,"Statistics Department",NA,NA,118,131,NA,NA
1175,"STATS",250,4,3.81929824561403,"S",386,118,NA,NA,"Movement Science BS",3.9,31,31,30,30,31,NA,NA,NA,"M",NA,NA,"School Of Kinesiology",NA,NA,114,127,NA,NA
1212,"STATS",250,4,3.792,"S",386,135,NA,NA,NA,4,35,33,28,34,33,NA,NA,NA,"F",NA,NA,NA,NA,NA,130,NA,NA,NA
1220,"STATS",250,3.7,3.57719298245614,"S",386,127,NA,NA,NA,0,28,24,NA,NA,29,600,700,1300,"M",NA,NA,NA,NA,NA,127,NA,NA,NA
1252,"STATS",250,4,3.95714285714286,"S",386,127,NA,NA,"Public Policy BA",4,35,30,35,36,34,790,700,1490,"F",NA,"G","School Of Public Policy",NA,NA,122,135,NA,NA
1253,"STATS",250,3,3.27096774193548,"S",386,126,NA,NA,"Organizational Studies BA",3.2,22,25,26,19,23,NA,NA,NA,"F","E","D","Organizational Studies",NA,NA,117,131,NA,NA
1259,"STATS",250,2.3,3.2031746031746,"S",386,119,NA,NA,"Neuroscience BS",0,27,24,22,24,24,530,530,1060,"F","E",NA,"Molecular, Cellular, and Developmental Biology",NA,NA,126,119,NA,NA
1290,"STATS",250,3.7,3.46216216216216,"S",386,131,NA,NA,NA,0,32,32,NA,NA,29,640,650,1290,"F",NA,NA,NA,NA,NA,130,NA,NA,NA
1302,"STATS",250,3.7,3.82,"S",386,134,NA,NA,NA,4,33,32,NA,NA,30,800,690,1490,"F",NA,"G",NA,NA,NA,130,NA,NA,NA
1305,"STATS",250,3,2.70634920634921,"S",386,135,NA,NA,NA,3.8,31,32,25,28,29,540,680,1220,"M",NA,NA,NA,NA,NA,134,NA,NA,NA
1323,"STATS",250,3,3.275,"S",1260,119,NA,NA,"Psychology BA",3.5,34,34,30,28,32,680,740,1420,"F",NA,NA,"Psychology Department",NA,NA,118,135,NA,NA
1336,"STATS",250,3.7,3.47027027027027,"S",386,126,NA,"Biopsych, Cognit & Neurosci BS","Philosophy BS",3.5,34,34,30,29,32,690,670,1360,"F",NA,"G","Philosophy Department","Psychology Department",NA,118,131,131,NA
1337,"STATS",250,3.7,3.59268292682927,"S",1446,134,NA,NA,NA,3.9,31,28,34,32,32,NA,NA,NA,"F",NA,NA,NA,NA,NA,126,NA,NA,NA
1342,"STATS",250,2.7,3.13333333333333,"S",1446,135,NA,NA,NA,4,25,24,25,23,24,NA,NA,NA,"M","E",NA,NA,NA,NA,134,NA,NA,NA
1346,"STATS",250,2.3,2.35,"S",1446,131,NA,NA,NA,3.9,29,33,NA,NA,29,690,710,1400,"M",NA,NA,NA,NA,NA,114,NA,NA,NA
1347,"STATS",250,3.7,3.15454545454545,"S",1802,123,NA,NA,"Economics BS",3.51,27,32,35,36,33,NA,NA,NA,"M",NA,NA,"Economics Department",NA,NA,118,131,NA,NA
1352,"STATS",250,4,3.28493150684932,"S",386,131,NA,NA,NA,4,35,28,33,27,31,NA,NA,NA,"F",NA,NA,NA,NA,NA,122,NA,NA,NA
1352,"STATS",250,2.7,3.80740740740741,"S",1260,127,NA,NA,NA,4,35,28,33,27,31,NA,NA,NA,"F",NA,NA,NA,NA,NA,122,NA,NA,NA
1377,"STATS",250,3.7,3.38285714285714,"S",1260,123,NA,NA,NA,3.9,33,26,NA,NA,26,620,630,1250,"F",NA,NA,NA,NA,NA,122,NA,NA,NA
1400,"STATS",250,3.7,2.56,"S",386,123,NA,NA,"Women's Studies BA",0,24,22,29,25,25,NA,NA,NA,"F",NA,NA,"Women's Studies Department",NA,NA,124,131,NA,NA
1411,"STATS",250,2.3,2.64583333333333,"S",386,118,NA,NA,"Sociology BA",3.2,20,16,28,22,21,NA,NA,NA,"M","D","E","Sociology Department",NA,NA,106,122,NA,NA
1416,"STATS",250,3.7,3.65423728813559,"S",1802,123,NA,"International Studies BA","Arab,Arm,Pers,Turk & Islamic S",4,25,28,28,32,29,NA,NA,NA,"M",NA,NA,"Near Eastern Studies Department","International Institute",NA,118,131,131,NA
1437,"STATS",250,2,2.88194444444444,"S",1260,122,NA,NA,"Women's Studies BA",3.6,33,27,NA,NA,30,640,660,1300,"F",NA,"G","Women's Studies Department",NA,NA,118,131,NA,NA
1445,"STATS",250,2,2.81666666666667,"S",386,131,NA,NA,NA,3.8,34,29,28,27,29,NA,NA,NA,"F",NA,NA,NA,NA,NA,126,NA,NA,NA
1450,"STATS",250,3.3,3.46666666666667,"S",1446,134,NA,NA,NA,3.4,31,26,33,23,29,NA,NA,NA,"M",NA,NA,NA,NA,NA,122,NA,NA,NA
1450,"STATS",250,1,3.48928571428571,"S",1260,135,NA,NA,NA,3.4,31,26,33,23,29,NA,NA,NA,"M",NA,NA,NA,NA,NA,122,NA,NA,NA
1476,"STATS",250,2.7,3.13333333333333,"S",1802,123,NA,NA,"Sport Management BA",0,34,31,30,27,31,600,720,1320,"M",NA,NA,"School Of Kinesiology",NA,NA,130,135,NA,NA
1508,"STATS",250,4,3.71846153846154,"S",1260,134,NA,NA,NA,3.9,33,34,NA,NA,29,730,720,1450,"F",NA,"G",NA,NA,NA,130,NA,NA,NA
1511,"STATS",250,4,3.94615384615385,"S",1260,135,NA,NA,NA,0,31,30,NA,NA,28,640,710,1350,"M",NA,NA,NA,NA,NA,134,NA,NA,NA
1535,"STATS",250,2.3,2.38571428571429,"S",386,127,NA,NA,"Environment BS",3.8,29,34,28,33,31,NA,NA,NA,"M",NA,NA,"Program in the Environment",NA,NA,118,133,NA,NA
1547,"STATS",250,3.7,3.9,"S",1260,135,NA,NA,NA,3.9,34,31,30,32,32,NA,NA,NA,"F",NA,NA,NA,NA,NA,130,NA,NA,NA
1557,"STATS",250,4,3.78363636363636,"S",1260,123,NA,"Spanish BA","Biopsych, Cognit & Neurosci BA",4,34,32,34,33,33,NA,NA,NA,"F",NA,NA,"Psychology Department","Romance Languages Department",NA,122,135,135,NA
1575,"STATS",250,3.7,3.75535714285714,"S",386,126,NA,NA,"English BA",3.9,27,26,32,22,27,NA,NA,NA,"F",NA,"G","English Language & Literature Dept",NA,NA,118,131,NA,NA
1604,"STATS",250,2,2.17830188679245,"S",1260,126,NA,NA,NA,0,25,24,28,29,27,NA,NA,NA,"F",NA,NA,NA,NA,NA,126,NA,NA,NA
1606,"STATS",250,1,3,"S",386,134,NA,NA,NA,3.9,23,28,20,25,24,NA,NA,NA,"M","A","E",NA,NA,NA,129,NA,NA,NA
1615,"STATS",250,1.7,3.13333333333333,"S",386,122,NA,NA,"Cellular & Molec Biology BS",3.7,33,34,32,27,32,NA,NA,NA,"F",NA,NA,"Molecular, Cellular, and Developmental Biology",NA,NA,114,131,NA,NA
1642,"STATS",250,3.7,3.50714285714286,"S",1260,126,NA,NA,NA,3.7,27,27,23,24,26,NA,NA,NA,"M",NA,NA,NA,NA,NA,126,NA,NA,NA
1660,"STATS",250,4,3.6695652173913,"S",1446,131,NA,NA,NA,4,26,30,30,27,29,NA,NA,NA,"F","E",NA,NA,NA,NA,130,NA,NA,NA
1670,"STATS",250,0,1.95,"S",1260,123,NA,NA,NA,3.7,33,32,NA,NA,32,750,680,1430,"M",NA,NA,NA,NA,NA,122,NA,NA,NA
1675,"STATS",250,2,2.56379310344828,"S",71,130,NA,NA,NA,3.6,26,25,36,32,30,610,570,1180,"M",NA,NA,NA,NA,NA,88,NA,NA,NA
1677,"STATS",250,4,3.83837209302326,"S",386,131,NA,NA,"Cellular & Molec Biology BS",3.9,34,28,30,26,29,680,650,1330,"F","F",NA,"Molecular, Cellular, and Developmental Biology",NA,NA,122,135,NA,NA
1680,"STATS",250,4,3.4551724137931,"S",386,126,NA,NA,"Evolutionary Anthropology BS",4,36,35,29,28,32,NA,NA,NA,"F","F",NA,"Anthropology Department",NA,NA,114,127,NA,NA
1682,"STATS",250,3.3,3.42201834862385,"S",1260,123,NA,NA,"Business Administration BBA",3.7,29,31,28,30,29,NA,NA,NA,"M",NA,NA,"School of Business Administration",NA,NA,122,134,NA,NA
1725,"STATS",250,3.7,3.61538461538462,"S",1802,126,NA,NA,"Economics BA",3.7,28,28,31,29,29,NA,NA,NA,"M",NA,NA,"Economics Department",NA,NA,122,135,NA,NA
1759,"STATS",250,3.7,3.76785714285714,"S",386,134,NA,NA,NA,0,34,33,NA,NA,33,700,700,1400,"M",NA,"G",NA,NA,NA,134,NA,NA,NA
1760,"STATS",250,4,4,"S",386,126,NA,NA,NA,4,33,34,31,31,32,NA,NA,NA,"M",NA,NA,NA,NA,NA,126,NA,NA,NA
1782,"STATS",250,3.7,3.61052631578947,"S",1260,119,NA,NA,"Biochemistry BS",3.8,33,35,34,34,34,730,650,1380,"F",NA,NA,"Chemistry Department",NA,NA,114,123,NA,NA
1792,"STATS",250,3.7,3.2,"S",386,135,NA,NA,NA,4,33,26,34,28,30,NA,NA,NA,"M",NA,NA,NA,NA,NA,130,NA,NA,NA
1798,"STATS",250,2,3.98510638297872,"S",386,119,NA,"Anthropology BA","History BA",3.3,26,27,28,28,27,600,650,1250,"F",NA,NA,"History Department","Anthropology Department",NA,109,123,123,NA
1809,"STATS",250,0,3.27319587628866,"S",386,122,NA,NA,"Education Elem ABEd",0,21,19,24,20,21,510,420,930,"F","E",NA,"School Of Education",NA,NA,126,135,NA,NA
1833,"STATS",250,2,3.128,"S",1260,127,NA,NA,"Sport Management BA",3.8,27,24,19,22,23,NA,NA,NA,"M","D","E","School Of Kinesiology",NA,NA,121,135,NA,NA
1845,"STATS",250,3.7,3.59473684210526,"S",386,127,NA,NA,NA,3.9,33,31,26,29,30,NA,NA,NA,"F",NA,NA,NA,NA,NA,126,NA,NA,NA
1851,"STATS",250,4,3.94,"S",386,131,NA,NA,NA,3.9,24,23,19,25,23,NA,NA,NA,"F",NA,NA,NA,NA,NA,126,NA,NA,NA
